level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	18	1	1	1	177	509	32	11	80.468559	‘Mesh
5	1	18	1	1	2	214	509	41	14	96.858376	Region
5	1	18	1	1	3	259	509	54	11	96.771507	Selection
2	1	19	0	0	0	442	498	181	27	-1	
3	1	19	1	0	0	442	498	181	27	-1	
4	1	19	1	1	0	518	498	30	13	-1	
5	1	19	1	1	1	518	498	30	13	95.339851	Body
4	1	19	1	2	0	442	509	181	16	-1	
5	1	19	1	2	1	442	509	24	11	96.074348	Fins
5	1	19	1	2	2	593	514	30	11	96.799126	Head
2	1	20	0	0	0	384	543	48	14	-1	
3	1	20	1	0	0	384	543	48	14	-1	
4	1	20	1	1	0	384	543	48	14	-1	
5	1	20	1	1	1	384	543	48	14	51.149750	—
2	1	21	0	0	0	371	291	2	319	-1	
3	1	21	1	0	0	371	291	2	319	-1	
4	1	21	1	1	0	371	291	2	319	-1	
5	1	21	1	1	1	371	291	2	319	95.000000	 
2	1	22	0	0	0	471	582	114	36	-1	
3	1	22	1	0	0	471	582	114	36	-1	
4	1	22	1	1	0	471	582	84	14	-1	
5	1	22	1	1	1	471	582	25	11	58.813629	Fins
5	1	22	1	1	2	536	585	19	11	58.813629	Tail
4	1	22	1	2	0	482	604	103	14	-1	
5	1	22	1	2	1	482	604	67	14	94.165787	Segmented
5	1	22	1	2	2	554	604	31	11	93.409081	Mesh
2	1	23	0	0	0	384	266	1	354	-1	
3	1	23	1	0	0	384	266	1	354	-1	
4	1	23	1	1	0	384	266	1	354	-1	
5	1	23	1	1	1	384	266	1	354	95.000000	 
2	1	24	0	0	0	8	632	624	2	-1	
3	1	24	1	0	0	8	632	624	2	-1	
4	1	24	1	1	0	8	632	624	2	-1	
5	1	24	1	1	1	8	632	624	2	95.000000	 
2	1	25	0	0	0	631	7	2	626	-1	
3	1	25	1	0	0	631	7	2	626	-1	
4	1	25	1	1	0	631	7	2	626	-1	
5	1	25	1	1	1	631	7	2	626	95.000000	 
